Objeto;circunferencia;diametro
Leite condensado em lata; 21.2; 6.5
lixeira; 73.1; 23.2
Frigideira;66.2;21.1
Pote; 69.0; 11.0
Copo2; 19.4; 5.8
Embalagem de álcool em gel; 24.0; 7.0
Pote;31.4;5
garrafa plástica; 29.5 ; 9.39
Copo;17.9;5.6
Cano; 32.4; 10.2
Porta-controle; 23.8; 7.1
garrafa; 20; 6.5
pote; 28.4; 9.0
lata de energético 473ml;21;6.5
caneca;25.8;8.4
biscoito maria; 18.84; 6
tampa de lapiseira; 1.58 ; 0.5
Garrafa; 30; 9
potinho ; 3.14 ; 1.0
Vaso;12;38
Lata;31.3;9.7
Caneca; 22.3; 7.2
Garrafa;8;4
pote; 29.6;8.9
Molho de Pimenta; 14.5; 4.5
tampa; 70; 22
talco; 17.5; 5.6
caneca; 25.1; 8.0
Cofre; 20.1; 6.3
Botao; 11; 3.5
demaquilante; 16.0; 5.1
rolo de fita; 32; 10.
tupperware;34.8;10.9
copo; 14.5; 4.6
forma; 73.5; 23.2
corretivo; 8.2; 2.6
papelhig; 34.5; 11.0
tampa de um potinho; 20.3; 6.4
Desodorante; 14.5; 4.5
Rodinha; 37.2; 12.0
lata de milho; 22.6; 7.3
Batom; 6.9; 1.9 
Tampa3; 11.3; 3.6
vela;16.3;51.2
cd;37.58;11.98
pires;43.7;13.9
garrafa; 23.0; 7.0
Desodorante ; 10.0 ; 3.2
Apoio;204.2;65.0
moeda; 7.7; 2.3
PilhaAAA;2.9;0.9
Borda Superior de uma Caneca; 27.2; 8.6
Moeda 25 centavos; 7.85; 2.5
fita adesiva; 11.3; 3.6
copo; 19.1; 6.9
pulseira; 23.24; 7.4
desodorante; 15.1; 4.8
Lata de Nescau NBA; 41.0; 13.0
Adesivo; 7.5; 2.4
Aliança;6.3;2.0
Lata; 32.0; 10.0
talco; 16.0; 4.8
Base de uma xicara;157;10
Desodorante; 15.9; 4.4
prato;78.0;23.9
vasilha_biscoito;34.1;10.7
álcool; 11.3; 3.4
Rolo de papel; 33.55; 10.50
Pote de Nescau; 23.2; 8.2
lanterna; 11.5; 3.7
globo; 50.2; 16.0
Copo descartável; 22.5; 7.2
Joystick;6.9;2.1
vaso; 48.9; 15.5
Esparadrapo; 18.0; 5.6
Pote de álcool; 25.1; 7.4
lata nescau;27.3;8.5
desodorante; 14.3; 4.4
caneca; 23.4; 7.4
maquiagem; 19.0; 6.0
copo; 20.9 ; 6.7
fita adesiva; 28; 8.9
roda de puxar de maquina de costura; 38.6; 12.0
paliteiro; 16.1; 5.1
garrafa de cola; 24.6; 7.8
desodorante; 15.0; 3.8
Caneca; 25.6; 8
Pacote de bolacha; 14.7; 4.3
Tenys pé; 15.9; 5.9
Pringles;21.4;7.9
Lixeira; 77.6; 25.0
CD; 37.6; 11.9
copo de vidro; 23.1; 6.4
Tampa de maionese; 21.5; 6.5
garrafa; 23.6; 7.5
Botão do videogame; 9.4; 1.6
Lata Cerveja Skol;21;5.4
vaso;45.7;15.0
rolo de fita; 30.4; 9.6
xícara; 22.4; 7.3
Pote de Álcool em Gel; 25.2; 8.1
Baldepreto;78.0;25.5
porta canetas; 27.2; 8.6
caneca; 26.0; 8.2
esmalte de unha; 8.1; 2.3
copo; 7.4; 23.1
tubodebola;24.4;7.4
Garrafa; 24.50; 7.8
joystick de controle de video game;5.4;1.6
Lata de atum ralado; 26.9; 8.7
garrafa de uisque; 31.3; 9.9
Fundo de bacia;65.2;20.4
Anel; 15.5; 2.5
Copo3; 20.1; 4.7
Anel; 6.0; 1.5
Copo;40.8;6.5
açucareiro;  31.5 ; 10.03
Pote;26.5;8.2
Pote; 10.2; 3.2
Lixo; 56.6; 18.5
fita; 12.8; 4
velapalito; 5.2; 1.7
vela;30;9.3
desodorante;16.8;5.3
tampa de garrafa; 9.42; 3
caneta de quadro branco; 5.65; 1.8
desodorante; 13; 4
pote de mms ; 6.3 ; 2.0
PesodePapel;8;25
Vaso;35.2;11.4
Garrafa; 32.3; 10.2
Bola;30;15
leiteira; 39.8;11.9
Tubo de vitamina C; 9.3; 2.8
balde; 88; 26.5
rolo diploma; 14.7; 4.7
varao; 6.0; 1.9
Garrafa; 26.9; 8.5
Tampa; 10.4; 3.3
garrafa; 27.5; 8.8
tampa; 12.5; 4.
vaso;37.2;11.8
lata; 49.1; 15.4
pote; 36.9; 11.7
rímel; 5.4; 1.7
potecreme; 23.5; 7
tampa de um pote; 32.0; 10.0 
Spray limpa contato; 16.5; 5.2
Anel; 10.5; 3.0
Nescau; 25.5; 8.6
Io iô; 18.0; 6.9 
Tampa4; 67.0; 21.0
vaso;32;100.3
ventilador;140.87;44.20
apontador;10.7;3.4
mesa; 300.0; 100.0
Pote Remédio ; 13.8 ; 4.4
PratoBailarina;141.4;45.0
desodorante; 14.5; 4.4
TintaGuache;9.5;2.8
Container Cilíndrico; 29.4; 9.2
Moeda 50 centavos; 7.22; 2.3
leiteira; 53.6; 17.0
caneca; 21.9; 7.0
copo; 25.12; 8
panela; 70.6; 22.9
Porta CD; 48.0; 15.0
Parte inferior álcool em gel; 40.3; 12.6
Pote redondo;47.1;15.0
Copo; 17.6; 5.0
saleira; 37.0; 11.5
Garrafa;353.5;15
tampa de perfume; 9.6; 2.9
garrafa;24.8;8.0
forma_pizza;95;30
caneca; 25.4; 7.9
Caneca; 25.90; 8.20
Pote de palitos de dente; 14.5; 4.6
pomada; 25.3; 8.1
rolha; 9.9; 3.1
Frasco de remédio; 17.5; 5.5
Mesa;110.5;35.0
prato; 72.7; 23.1
Barra de ferro; 16.3; 5.2
Prato; 60.0; 19.0
lata ervilha;23.1;7.5
shampoo; 24.5; 7.8
filtro; 70.0; 22.2
copo; 23.5; 7.4
tacavinho; 32.2 ; 10.2
pote de açaí; 31.7; 10.1
tampa de pomada; 4.8; 1.2
relógio; 80.7; 25.7
desodorante; 14.4; 4.5
lata; 28.0; 9.0
Tampa de spray; 20.6; 6.7
Flogoral; 10.2; 2.8
Lata de leite ninho; 31.5; 10.0
Estojo;23.4;7.2
Achocolatado; 28.7; 8.7
Tampa do cesto de roupa; 123.3; 39.2
caneca de café; 26.7; 7.7
Lata de ervilha; 24.2; 7.5
tampa; 13.2; 4.2
Luminária; 16.6;5.3
Tampa de baleiro; 31.1;9.8
tupperware;64.1;20.2
lata; 33.6; 10.4
panela; 49.8; 16.1
Pote de Leite em Pó; 31.5; 10.0
Ralodepia;17.0;5.5
rolo fita crepe; 30.8; 9.7
espuma de barbear; 11.4; 3.6
corretivo liquido; 8.6; 2.7
tampa de maionese; 6.3; 19.8
canetao;2;6.3
Panela; 73.83; 23.50
relogio;16;4.5
Base da lata de achocolatado em pó; 24; 7.6
tampa; 34.1; 10.8
Fita Isolante; 22.0; 3.5
Copo5; 20; 4.4
Esmalte; 11.0; 4.0
Tampa;22;3.5
pote de vidro; 23 ; 7.32
Pote;28.1;8.7
Tampinha; 9.5 ; 3
Anel; 7.7; 2.3
lápis; 2.7; 0.7
manteigadecacau; 5.1; 1.6
rolo interno do papel higiênico;13;4.2
garrafa;19.9;6.3
cd; 37.68; 12
rola de durex; 13.5; 4.3
creme; 30; 9
copo ; 31.2 ; 10.0
Frasco;3;9.5
Copo;28.6;9.4
